hour_of_day,is_weekend,severity_score,format_encoded,ip_is_external,ip_event_count,ip_fail_rate,rolling_event_rate,message_length,has_sql_keywords,has_exec_keywords,has_c2_keywords,has_auth_failure,has_privilege_esc,anomaly_label,_source_ip,_message,_severity,_format,_timestamp,_raw
12,0,0,4,1,119,0.1513,13,106,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:39 db-01 sshd[1013]: Failed password for invalid user deploy from 91.108.4.55 port 40013 ssh2,INFO,unknown,unknown,Jan 15  8:00:39 db-01 sshd[1013]: Failed password for invalid user deploy from 91.108.4.55 port 40013 ssh2
12,0,0,4,1,119,0.1513,14,106,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:42 db-01 sshd[1014]: Failed password for invalid user ubuntu from 91.108.4.55 port 40014 ssh2,INFO,unknown,unknown,Jan 15  8:00:42 db-01 sshd[1014]: Failed password for invalid user ubuntu from 91.108.4.55 port 40014 ssh2
12,0,0,4,1,119,0.1513,15,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:45 gateway sshd[1015]: Failed password for invalid user ubuntu from 91.108.4.55 port 40015 ssh2,INFO,unknown,unknown,Jan 15  8:00:45 gateway sshd[1015]: Failed password for invalid user ubuntu from 91.108.4.55 port 40015 ssh2
12,0,0,4,1,119,0.1513,16,106,0,0,1,1,1,0,91.108.4.55,Jan 15  8:00:48 vpn-gw sshd[1016]: Failed password for invalid user admin from 91.108.4.55 port 40016 ssh2,INFO,unknown,unknown,Jan 15  8:00:48 vpn-gw sshd[1016]: Failed password for invalid user admin from 91.108.4.55 port 40016 ssh2
12,0,0,4,1,119,0.1513,17,106,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:51 db-01 sshd[1017]: Failed password for invalid user deploy from 91.108.4.55 port 40017 ssh2,INFO,unknown,unknown,Jan 15  8:00:51 db-01 sshd[1017]: Failed password for invalid user deploy from 91.108.4.55 port 40017 ssh2
12,0,0,4,1,119,0.1513,18,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:54 webserver sshd[1018]: Failed password for invalid user ubuntu from 91.108.4.55 port 40018 ssh2,INFO,unknown,unknown,Jan 15  8:00:54 webserver sshd[1018]: Failed password for invalid user ubuntu from 91.108.4.55 port 40018 ssh2
12,0,0,4,1,119,0.1513,19,106,0,0,1,1,1,0,91.108.4.55,Jan 15  8:00:57 gateway sshd[1019]: Failed password for invalid user root from 91.108.4.55 port 40019 ssh2,INFO,unknown,unknown,Jan 15  8:00:57 gateway sshd[1019]: Failed password for invalid user root from 91.108.4.55 port 40019 ssh2
12,0,0,4,1,119,0.1513,20,105,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:00 db-01 sshd[1020]: Failed password for invalid user admin from 91.108.4.55 port 40020 ssh2,INFO,unknown,unknown,Jan 15  8:01:00 db-01 sshd[1020]: Failed password for invalid user admin from 91.108.4.55 port 40020 ssh2
12,0,0,4,1,119,0.1513,20,106,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:03 gateway sshd[1021]: Failed password for invalid user root from 91.108.4.55 port 40021 ssh2,INFO,unknown,unknown,Jan 15  8:01:03 gateway sshd[1021]: Failed password for invalid user root from 91.108.4.55 port 40021 ssh2
12,0,0,4,1,119,0.1513,20,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:01:06 webserver sshd[1022]: Failed password for invalid user ubuntu from 91.108.4.55 port 40022 ssh2,INFO,unknown,unknown,Jan 15  8:01:06 webserver sshd[1022]: Failed password for invalid user ubuntu from 91.108.4.55 port 40022 ssh2
12,0,0,4,1,119,0.1513,20,108,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:09 webserver sshd[1023]: Failed password for invalid user root from 91.108.4.55 port 40023 ssh2,INFO,unknown,unknown,Jan 15  8:01:09 webserver sshd[1023]: Failed password for invalid user root from 91.108.4.55 port 40023 ssh2
12,0,0,4,1,119,0.1513,20,104,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:12 db-01 sshd[1024]: Failed password for invalid user root from 91.108.4.55 port 40024 ssh2,INFO,unknown,unknown,Jan 15  8:01:12 db-01 sshd[1024]: Failed password for invalid user root from 91.108.4.55 port 40024 ssh2
12,0,0,4,1,119,0.1513,20,109,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:15 webserver sshd[1025]: Failed password for invalid user admin from 91.108.4.55 port 40025 ssh2,INFO,unknown,unknown,Jan 15  8:01:15 webserver sshd[1025]: Failed password for invalid user admin from 91.108.4.55 port 40025 ssh2
12,0,0,4,1,119,0.1513,20,112,0,0,1,1,0,0,91.108.4.55,Jan 15  8:01:18 webserver sshd[1026]: Failed password for invalid user postgres from 91.108.4.55 port 40026 ssh2,INFO,unknown,unknown,Jan 15  8:01:18 webserver sshd[1026]: Failed password for invalid user postgres from 91.108.4.55 port 40026 ssh2
12,0,0,4,1,119,0.1513,20,107,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:21 gateway sshd[1027]: Failed password for invalid user admin from 91.108.4.55 port 40027 ssh2,INFO,unknown,unknown,Jan 15  8:01:21 gateway sshd[1027]: Failed password for invalid user admin from 91.108.4.55 port 40027 ssh2
12,0,0,4,1,119,0.1513,20,105,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:24 vpn-gw sshd[1028]: Failed password for invalid user root from 91.108.4.55 port 40028 ssh2,INFO,unknown,unknown,Jan 15  8:01:24 vpn-gw sshd[1028]: Failed password for invalid user root from 91.108.4.55 port 40028 ssh2
12,0,0,4,1,119,0.1513,20,109,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:27 webserver sshd[1029]: Failed password for invalid user admin from 91.108.4.55 port 40029 ssh2,INFO,unknown,unknown,Jan 15  8:01:27 webserver sshd[1029]: Failed password for invalid user admin from 91.108.4.55 port 40029 ssh2
12,0,0,4,1,119,0.1513,20,107,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:30 gateway sshd[1030]: Failed password for invalid user admin from 91.108.4.55 port 40030 ssh2,INFO,unknown,unknown,Jan 15  8:01:30 gateway sshd[1030]: Failed password for invalid user admin from 91.108.4.55 port 40030 ssh2
12,0,0,4,1,119,0.1513,20,108,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:33 webserver sshd[1031]: Failed password for invalid user root from 91.108.4.55 port 40031 ssh2,INFO,unknown,unknown,Jan 15  8:01:33 webserver sshd[1031]: Failed password for invalid user root from 91.108.4.55 port 40031 ssh2
12,0,0,4,1,119,0.1513,20,106,0,0,1,1,0,0,91.108.4.55,Jan 15  8:01:36 db-01 sshd[1032]: Failed password for invalid user deploy from 91.108.4.55 port 40032 ssh2,INFO,unknown,unknown,Jan 15  8:01:36 db-01 sshd[1032]: Failed password for invalid user deploy from 91.108.4.55 port 40032 ssh2
12,0,0,4,1,119,0.1513,20,107,0,0,1,1,0,0,91.108.4.55,Jan 15  8:01:39 vpn-gw sshd[1033]: Failed password for invalid user deploy from 91.108.4.55 port 40033 ssh2,INFO,unknown,unknown,Jan 15  8:01:39 vpn-gw sshd[1033]: Failed password for invalid user deploy from 91.108.4.55 port 40033 ssh2
12,0,0,4,1,119,0.1513,20,107,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:42 gateway sshd[1034]: Failed password for invalid user admin from 91.108.4.55 port 40034 ssh2,INFO,unknown,unknown,Jan 15  8:01:42 gateway sshd[1034]: Failed password for invalid user admin from 91.108.4.55 port 40034 ssh2
12,0,0,4,1,119,0.1513,20,105,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:45 vpn-gw sshd[1035]: Failed password for invalid user root from 91.108.4.55 port 40035 ssh2,INFO,unknown,unknown,Jan 15  8:01:45 vpn-gw sshd[1035]: Failed password for invalid user root from 91.108.4.55 port 40035 ssh2
12,0,0,4,1,119,0.1513,20,112,0,0,1,1,0,0,91.108.4.55,Jan 15  8:01:48 webserver sshd[1036]: Failed password for invalid user postgres from 91.108.4.55 port 40036 ssh2,INFO,unknown,unknown,Jan 15  8:01:48 webserver sshd[1036]: Failed password for invalid user postgres from 91.108.4.55 port 40036 ssh2
12,0,0,4,1,119,0.1513,20,105,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:51 vpn-gw sshd[1037]: Failed password for invalid user root from 91.108.4.55 port 40037 ssh2,INFO,unknown,unknown,Jan 15  8:01:51 vpn-gw sshd[1037]: Failed password for invalid user root from 91.108.4.55 port 40037 ssh2
12,0,0,4,1,119,0.1513,20,105,0,0,1,1,1,0,91.108.4.55,Jan 15  8:01:54 db-01 sshd[1038]: Failed password for invalid user admin from 91.108.4.55 port 40038 ssh2,INFO,unknown,unknown,Jan 15  8:01:54 db-01 sshd[1038]: Failed password for invalid user admin from 91.108.4.55 port 40038 ssh2
12,0,0,4,1,119,0.1513,20,107,0,0,1,1,0,0,91.108.4.55,Jan 15  8:01:57 vpn-gw sshd[1039]: Failed password for invalid user ubuntu from 91.108.4.55 port 40039 ssh2,INFO,unknown,unknown,Jan 15  8:01:57 vpn-gw sshd[1039]: Failed password for invalid user ubuntu from 91.108.4.55 port 40039 ssh2
12,0,0,4,1,119,0.1513,20,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:00 webserver sshd[1040]: Failed password for invalid user deploy from 91.108.4.55 port 40040 ssh2,INFO,unknown,unknown,Jan 15  8:02:00 webserver sshd[1040]: Failed password for invalid user deploy from 91.108.4.55 port 40040 ssh2
12,0,0,4,1,119,0.1513,20,106,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:03 db-01 sshd[1041]: Failed password for invalid user ubuntu from 91.108.4.55 port 40041 ssh2,INFO,unknown,unknown,Jan 15  8:02:03 db-01 sshd[1041]: Failed password for invalid user ubuntu from 91.108.4.55 port 40041 ssh2
12,0,0,4,1,119,0.1513,20,104,0,0,1,1,1,0,91.108.4.55,Jan 15  8:02:06 db-01 sshd[1042]: Failed password for invalid user root from 91.108.4.55 port 40042 ssh2,INFO,unknown,unknown,Jan 15  8:02:06 db-01 sshd[1042]: Failed password for invalid user root from 91.108.4.55 port 40042 ssh2
12,0,0,4,1,119,0.1513,20,105,0,0,1,1,1,0,91.108.4.55,Jan 15  8:02:09 db-01 sshd[1043]: Failed password for invalid user admin from 91.108.4.55 port 40043 ssh2,INFO,unknown,unknown,Jan 15  8:02:09 db-01 sshd[1043]: Failed password for invalid user admin from 91.108.4.55 port 40043 ssh2
12,0,0,4,1,119,0.1513,20,105,0,0,1,1,1,0,91.108.4.55,Jan 15  8:02:12 vpn-gw sshd[1044]: Failed password for invalid user root from 91.108.4.55 port 40044 ssh2,INFO,unknown,unknown,Jan 15  8:02:12 vpn-gw sshd[1044]: Failed password for invalid user root from 91.108.4.55 port 40044 ssh2
12,0,0,4,1,119,0.1513,20,107,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:15 vpn-gw sshd[1045]: Failed password for invalid user ubuntu from 91.108.4.55 port 40045 ssh2,INFO,unknown,unknown,Jan 15  8:02:15 vpn-gw sshd[1045]: Failed password for invalid user ubuntu from 91.108.4.55 port 40045 ssh2
12,0,0,4,1,119,0.1513,20,109,0,0,1,1,1,0,91.108.4.55,Jan 15  8:02:18 webserver sshd[1046]: Failed password for invalid user admin from 91.108.4.55 port 40046 ssh2,INFO,unknown,unknown,Jan 15  8:02:18 webserver sshd[1046]: Failed password for invalid user admin from 91.108.4.55 port 40046 ssh2
12,0,0,4,1,119,0.1513,20,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:21 gateway sshd[1047]: Failed password for invalid user ubuntu from 91.108.4.55 port 40047 ssh2,INFO,unknown,unknown,Jan 15  8:02:21 gateway sshd[1047]: Failed password for invalid user ubuntu from 91.108.4.55 port 40047 ssh2
12,0,0,4,1,119,0.1513,20,106,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:24 db-01 sshd[1048]: Failed password for invalid user deploy from 91.108.4.55 port 40048 ssh2,INFO,unknown,unknown,Jan 15  8:02:24 db-01 sshd[1048]: Failed password for invalid user deploy from 91.108.4.55 port 40048 ssh2
12,0,0,4,1,119,0.1513,20,109,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:27 vpn-gw sshd[1049]: Failed password for invalid user postgres from 91.108.4.55 port 40049 ssh2,INFO,unknown,unknown,Jan 15  8:02:27 vpn-gw sshd[1049]: Failed password for invalid user postgres from 91.108.4.55 port 40049 ssh2
12,0,0,4,1,119,0.1513,20,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:30 gateway sshd[1050]: Failed password for invalid user ubuntu from 91.108.4.55 port 40050 ssh2,INFO,unknown,unknown,Jan 15  8:02:30 gateway sshd[1050]: Failed password for invalid user ubuntu from 91.108.4.55 port 40050 ssh2
12,0,0,4,1,119,0.1513,20,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:33 gateway sshd[1051]: Failed password for invalid user ubuntu from 91.108.4.55 port 40051 ssh2,INFO,unknown,unknown,Jan 15  8:02:33 gateway sshd[1051]: Failed password for invalid user ubuntu from 91.108.4.55 port 40051 ssh2
12,0,0,4,1,119,0.1513,20,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:36 db-01 sshd[1052]: Failed password for invalid user postgres from 91.108.4.55 port 40052 ssh2,INFO,unknown,unknown,Jan 15  8:02:36 db-01 sshd[1052]: Failed password for invalid user postgres from 91.108.4.55 port 40052 ssh2
12,0,0,4,1,119,0.1513,20,106,0,0,1,1,1,0,91.108.4.55,Jan 15  8:02:39 vpn-gw sshd[1053]: Failed password for invalid user admin from 91.108.4.55 port 40053 ssh2,INFO,unknown,unknown,Jan 15  8:02:39 vpn-gw sshd[1053]: Failed password for invalid user admin from 91.108.4.55 port 40053 ssh2
12,0,0,4,1,119,0.1513,20,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:42 webserver sshd[1054]: Failed password for invalid user deploy from 91.108.4.55 port 40054 ssh2,INFO,unknown,unknown,Jan 15  8:02:42 webserver sshd[1054]: Failed password for invalid user deploy from 91.108.4.55 port 40054 ssh2
12,0,0,4,1,119,0.1513,20,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:45 gateway sshd[1055]: Failed password for invalid user postgres from 91.108.4.55 port 40055 ssh2,INFO,unknown,unknown,Jan 15  8:02:45 gateway sshd[1055]: Failed password for invalid user postgres from 91.108.4.55 port 40055 ssh2
12,0,0,4,1,119,0.1513,20,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:48 webserver sshd[1056]: Failed password for invalid user ubuntu from 91.108.4.55 port 40056 ssh2,INFO,unknown,unknown,Jan 15  8:02:48 webserver sshd[1056]: Failed password for invalid user ubuntu from 91.108.4.55 port 40056 ssh2
12,0,0,4,1,119,0.1513,20,106,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:51 db-01 sshd[1057]: Failed password for invalid user deploy from 91.108.4.55 port 40057 ssh2,INFO,unknown,unknown,Jan 15  8:02:51 db-01 sshd[1057]: Failed password for invalid user deploy from 91.108.4.55 port 40057 ssh2
12,0,0,4,1,119,0.1513,20,112,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:54 webserver sshd[1058]: Failed password for invalid user postgres from 91.108.4.55 port 40058 ssh2,INFO,unknown,unknown,Jan 15  8:02:54 webserver sshd[1058]: Failed password for invalid user postgres from 91.108.4.55 port 40058 ssh2
12,0,0,4,1,119,0.1513,20,112,0,0,1,1,0,0,91.108.4.55,Jan 15  8:02:57 webserver sshd[1059]: Failed password for invalid user postgres from 91.108.4.55 port 40059 ssh2,INFO,unknown,unknown,Jan 15  8:02:57 webserver sshd[1059]: Failed password for invalid user postgres from 91.108.4.55 port 40059 ssh2
12,0,0,4,1,119,0.1513,20,97,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:00 webserver sshd[2060]: Accepted password for root from 91.108.4.55 port 50060 ssh2,INFO,unknown,unknown,Jan 15  8:03:00 webserver sshd[2060]: Accepted password for root from 91.108.4.55 port 50060 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:03 vpn-gw sshd[2061]: Accepted password for root from 91.108.4.55 port 50061 ssh2,INFO,unknown,unknown,Jan 15  8:03:03 vpn-gw sshd[2061]: Accepted password for root from 91.108.4.55 port 50061 ssh2
12,0,0,4,1,119,0.1513,20,93,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:06 db-01 sshd[2062]: Accepted password for root from 91.108.4.55 port 50062 ssh2,INFO,unknown,unknown,Jan 15  8:03:06 db-01 sshd[2062]: Accepted password for root from 91.108.4.55 port 50062 ssh2
12,0,0,4,1,119,0.1513,20,97,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:09 webserver sshd[2063]: Accepted password for root from 91.108.4.55 port 50063 ssh2,INFO,unknown,unknown,Jan 15  8:03:09 webserver sshd[2063]: Accepted password for root from 91.108.4.55 port 50063 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:12 vpn-gw sshd[2064]: Accepted password for root from 91.108.4.55 port 50064 ssh2,INFO,unknown,unknown,Jan 15  8:03:12 vpn-gw sshd[2064]: Accepted password for root from 91.108.4.55 port 50064 ssh2
12,0,0,4,1,119,0.1513,20,95,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:15 gateway sshd[2065]: Accepted password for root from 91.108.4.55 port 50065 ssh2,INFO,unknown,unknown,Jan 15  8:03:15 gateway sshd[2065]: Accepted password for root from 91.108.4.55 port 50065 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:18 vpn-gw sshd[2066]: Accepted password for root from 91.108.4.55 port 50066 ssh2,INFO,unknown,unknown,Jan 15  8:03:18 vpn-gw sshd[2066]: Accepted password for root from 91.108.4.55 port 50066 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:21 vpn-gw sshd[2067]: Accepted password for root from 91.108.4.55 port 50067 ssh2,INFO,unknown,unknown,Jan 15  8:03:21 vpn-gw sshd[2067]: Accepted password for root from 91.108.4.55 port 50067 ssh2
12,0,0,4,1,119,0.1513,20,95,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:24 gateway sshd[2068]: Accepted password for root from 91.108.4.55 port 50068 ssh2,INFO,unknown,unknown,Jan 15  8:03:24 gateway sshd[2068]: Accepted password for root from 91.108.4.55 port 50068 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:27 vpn-gw sshd[2069]: Accepted password for root from 91.108.4.55 port 50069 ssh2,INFO,unknown,unknown,Jan 15  8:03:27 vpn-gw sshd[2069]: Accepted password for root from 91.108.4.55 port 50069 ssh2
12,0,0,4,1,119,0.1513,20,93,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:30 db-01 sshd[2070]: Accepted password for root from 91.108.4.55 port 50070 ssh2,INFO,unknown,unknown,Jan 15  8:03:30 db-01 sshd[2070]: Accepted password for root from 91.108.4.55 port 50070 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:33 vpn-gw sshd[2071]: Accepted password for root from 91.108.4.55 port 50071 ssh2,INFO,unknown,unknown,Jan 15  8:03:33 vpn-gw sshd[2071]: Accepted password for root from 91.108.4.55 port 50071 ssh2
12,0,0,4,1,119,0.1513,20,95,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:36 gateway sshd[2072]: Accepted password for root from 91.108.4.55 port 50072 ssh2,INFO,unknown,unknown,Jan 15  8:03:36 gateway sshd[2072]: Accepted password for root from 91.108.4.55 port 50072 ssh2
12,0,0,4,1,119,0.1513,20,93,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:39 db-01 sshd[2073]: Accepted password for root from 91.108.4.55 port 50073 ssh2,INFO,unknown,unknown,Jan 15  8:03:39 db-01 sshd[2073]: Accepted password for root from 91.108.4.55 port 50073 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:42 vpn-gw sshd[2074]: Accepted password for root from 91.108.4.55 port 50074 ssh2,INFO,unknown,unknown,Jan 15  8:03:42 vpn-gw sshd[2074]: Accepted password for root from 91.108.4.55 port 50074 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:45 vpn-gw sshd[2075]: Accepted password for root from 91.108.4.55 port 50075 ssh2,INFO,unknown,unknown,Jan 15  8:03:45 vpn-gw sshd[2075]: Accepted password for root from 91.108.4.55 port 50075 ssh2
12,0,0,4,1,119,0.1513,20,94,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:48 vpn-gw sshd[2076]: Accepted password for root from 91.108.4.55 port 50076 ssh2,INFO,unknown,unknown,Jan 15  8:03:48 vpn-gw sshd[2076]: Accepted password for root from 91.108.4.55 port 50076 ssh2
12,0,0,4,1,119,0.1513,20,93,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:51 db-01 sshd[2077]: Accepted password for root from 91.108.4.55 port 50077 ssh2,INFO,unknown,unknown,Jan 15  8:03:51 db-01 sshd[2077]: Accepted password for root from 91.108.4.55 port 50077 ssh2
12,0,0,4,1,119,0.1513,20,95,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:54 gateway sshd[2078]: Accepted password for root from 91.108.4.55 port 50078 ssh2,INFO,unknown,unknown,Jan 15  8:03:54 gateway sshd[2078]: Accepted password for root from 91.108.4.55 port 50078 ssh2
12,0,0,4,1,119,0.1513,20,95,0,0,1,0,1,0,91.108.4.55,Jan 15  8:03:57 gateway sshd[2079]: Accepted password for root from 91.108.4.55 port 50079 ssh2,INFO,unknown,unknown,Jan 15  8:03:57 gateway sshd[2079]: Accepted password for root from 91.108.4.55 port 50079 ssh2
12,0,0,4,0,2,0.0,0,91,0,0,0,1,1,0,10.0.0.91,Jan 15  8:04:00 webserver sudo[3080]: authentication failure for user deploy from 10.0.0.91,INFO,unknown,unknown,Jan 15  8:04:00 webserver sudo[3080]: authentication failure for user deploy from 10.0.0.91
12,0,0,4,0,1,0.0,0,88,0,0,0,1,1,0,10.0.0.83,Jan 15  8:04:03 vpn-gw sudo[3081]: authentication failure for user deploy from 10.0.0.83,INFO,unknown,unknown,Jan 15  8:04:03 vpn-gw sudo[3081]: authentication failure for user deploy from 10.0.0.83
12,0,0,4,0,2,0.0,0,87,0,0,0,1,1,0,10.0.0.20,Jan 15  8:04:06 db-01 sudo[3082]: authentication failure for user deploy from 10.0.0.20,INFO,unknown,unknown,Jan 15  8:04:06 db-01 sudo[3082]: authentication failure for user deploy from 10.0.0.20
12,0,0,4,0,2,0.5,0,88,0,0,0,1,1,0,10.0.0.155,Jan 15  8:04:09 db-01 sudo[3083]: authentication failure for user deploy from 10.0.0.155,INFO,unknown,unknown,Jan 15  8:04:09 db-01 sudo[3083]: authentication failure for user deploy from 10.0.0.155
12,0,0,4,0,2,0.5,0,87,0,0,0,1,1,0,10.0.0.75,Jan 15  8:04:12 db-01 sudo[3084]: authentication failure for user deploy from 10.0.0.75,INFO,unknown,unknown,Jan 15  8:04:12 db-01 sudo[3084]: authentication failure for user deploy from 10.0.0.75
